date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202020%2012:36:52%20GMT	http://mobile.tacoboy.com.au/robots.txt		(from )
18:21:52	20921/20921	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2012:36:52%20GMT	http://mobile.tacoboy.com.au/	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/index.html	(from )
18:22:06	49152/49152	---M-Z	200	added ('OK')	text/css	etag:W/%2254499a48-c000%22	http://code.jquery.com/mobile/1.0/jquery.mobile-1.0.min.css	C:/My%20Web%20Sites/mobiletaco/code.jquery.com/mobile/1.0/jquery.mobile-1.0.min.css	(from http://mobile.tacoboy.com.au/)
18:22:07	20833/20833	---MC-	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202020%2012:37:07%20GMT	http://mobile.tacoboy.com.au/themes/tacoboy.min.css	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/themes/tacoboy.min.css	(from http://mobile.tacoboy.com.au/)
18:22:08	3887/3887	---MC-	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202020%2012:37:08%20GMT	http://mobile.tacoboy.com.au/css/style.css	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/css/style.css	(from http://mobile.tacoboy.com.au/)
18:22:08	369/369	---MC-	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202020%2012:37:08%20GMT	http://mobile.tacoboy.com.au/mobile.css	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/mobile.css	(from http://mobile.tacoboy.com.au/)
18:22:09	3503/3503	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202020%2012:37:09%20GMT	http://mobile.tacoboy.com.au/css/photoswipe.css	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/css/photoswipe.css	(from http://mobile.tacoboy.com.au/)
18:22:12	1192/1192	---MC-	200	added ('OK')	application/javascript	date:Mon,%2017%20Feb%202020%2012:37:12%20GMT	http://mobile.tacoboy.com.au/js/klass.min.js	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/js/klass.min.js	(from http://mobile.tacoboy.com.au/)
18:22:14	91669/91669	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-16615%22	http://code.jquery.com/jquery-1.6.4.min.js	C:/My%20Web%20Sites/mobiletaco/code.jquery.com/jquery-1.6.4.min.js	(from http://mobile.tacoboy.com.au/)
18:22:14	81903/81903	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-13fef%22	http://code.jquery.com/mobile/1.0/jquery.mobile-1.0.min.js	C:/My%20Web%20Sites/mobiletaco/code.jquery.com/mobile/1.0/jquery.mobile-1.0.min.js	(from http://mobile.tacoboy.com.au/)
18:22:15	1744/1744	---MC-	200	added ('OK')	application/javascript	date:Mon,%2017%20Feb%202020%2012:37:15%20GMT	http://mobile.tacoboy.com.au/js/custom.js	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/js/custom.js	(from http://mobile.tacoboy.com.au/)
18:22:15	4792/4792	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Mar%202019%2015:21:43%20GMT	http://mobile.tacoboy.com.au/css/slider.css	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/css/slider.css	(from http://mobile.tacoboy.com.au/)
18:22:16	694/694	---M--	200	added ('OK')	text/css	date:Sun,%2031%20Mar%202019%2015:21:44%20GMT	http://mobile.tacoboy.com.au/css/popup.css	C:/My%20Web%20Sites/mobiletaco/mobile.tacoboy.com.au/css/popup.css	(from http://mobile.tacoboy.com.au/)
18:22:16	92792/92792	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	C:/My%20Web%20Sites/mobiletaco/ajax.googleapis.com/ajax/libs/jquery/1.8.1/jquery.min.js	(from http://mobile.tacoboy.com.au/)
